First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Sam,Hughes,Sampage,"5' 5""",115 lbs.,"64.0""",Orthodox,9,6,0,,4.33,46%,4.46,56%,N/A,0.85,30%,60%,0.0,"Jun 28, 1992"
Jeff,Hughes,Lights Out,"6' 2""",250 lbs.,"77.0""",Orthodox,10,4,0,,3.95,51%,3.67,60%,N/A,0.71,50%,45%,0.0,"May 17, 1988"
Mark,Hughes,,"5' 9""",205 lbs.,--,Southpaw,6,2,0,,0.90,47%,0.40,42%,N/A,3.00,50%,0%,4.5,"Oct 13, 1973"
Joaquin,Buckley,New Mansa,"5' 10""",170 lbs.,"76.0""",Southpaw,19,6,0,,4.25,36%,3.12,58%,N/A,1.69,44%,69%,0.0,"Apr 27, 1994"
Courtney,Buck,,"5' 10""",135 lbs.,--,Orthodox,12,11,0,,1.49,28%,3.24,54%,N/A,0.00,0%,33%,0.0,"Mar 19, 1982"
Zak,Bucia,,"5' 10""",170 lbs.,--,,17,8,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Martin,Buday,Badys,"6' 4""",265 lbs.,"77.0""",Orthodox,14,2,0,,4.84,53%,5.54,52%,N/A,0.21,25%,100%,0.2,"Nov 11, 1991"
Justin,Buchholz,,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,0,,2.35,26%,4.14,51%,N/A,0.00,0%,33%,0.8,"Aug 22, 1983"
Lukasz,Brzeski,The Bull,"6' 4""",236 lbs.,"78.0""",Orthodox,9,5,1,,4.90,50%,3.51,54%,N/A,0.46,50%,36%,0.5,"May 17, 1992"
Dennis,Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,5,2,0,,10.56,59%,10.56,13%,N/A,0.00,0%,0%,0.0,"Oct 18, 1985"
Robert,Bryczek,,"6' 0""",185 lbs.,"75.0""",Orthodox,17,6,0,,2.13,24%,4.47,60%,N/A,0.00,0%,100%,0.0,"Jul 04, 1990"
Josh,Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,15,4,0,,1.10,20%,6.10,43%,N/A,0.00,0%,0%,0.0,"Apr 23, 1980"
Joe,Martin,,"5' 9""",170 lbs.,--,,6,8,0,,0.73,40%,2.40,45%,N/A,0.00,0%,16%,0.0,--
Dave,Martin,,"6' 0""",205 lbs.,--,,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Justin,Martin,,"6' 0""",185 lbs.,--,,4,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Eric,Martin,,--,--,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Anthony Rocco,Martin,,"6' 0""",170 lbs.,"73.0""",Orthodox,17,6,0,,2.68,37%,2.59,58%,N/A,0.71,27%,68%,1.0,"Dec 11, 1989"
Jack,Marshman,The Hammer,"6' 0""",185 lbs.,"73.0""",Orthodox,23,10,0,,2.74,25%,4.19,56%,N/A,0.00,0%,20%,0.0,"Dec 19, 1989"
Francis,Marshall,Fire,"5' 9""",145 lbs.,"72.0""",Orthodox,8,2,0,,3.69,34%,4.16,53%,N/A,2.68,41%,50%,0.5,"Mar 03, 1999"
David,Marshall,,"6' 2""",170 lbs.,--,,8,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Aug 24, 1984"
Diego,Rivas,Pitbull,"5' 8""",145 lbs.,"69.0""",Orthodox,10,2,0,,1.37,40%,2.14,52%,N/A,1.79,60%,64%,0.9,"Nov 11, 1991"
Doug,Marshall,The Rhino,"5' 10""",205 lbs.,--,Orthodox,18,8,0,,6.99,46%,4.02,60%,N/A,0.00,0%,66%,2.4,"Sep 09, 1975"
Terry,Martin,,"5' 8""",185 lbs.,"71.0""",Orthodox,23,11,0,,2.82,43%,3.13,54%,N/A,3.10,42%,92%,0.0,"Oct 10, 1980"
Shannon,Ritch,The Cannon,"5' 9""",190 lbs.,--,Orthodox,56,83,0,,1.00,100%,6.00,50%,N/A,0.00,0%,0%,0.0,"Sep 27, 1970"
Rafael,Rios,,--,150 lbs.,--,,4,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Jorge,Rivera,El Conquistador,"6' 1""",185 lbs.,"73.0""",Orthodox,20,9,0,,3.16,48%,2.64,54%,N/A,0.84,50%,63%,0.1,"Feb 28, 1972"
Albert,Rios,,"5' 8""",145 lbs.,--,,13,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Maria,Rios,,"5' 5""",125 lbs.,--,,2,3,0,,2.93,34%,4.13,56%,N/A,2.00,50%,100%,0.0,"May 31, 1983"
Mike,Rio,The Wolverine,"5' 10""",155 lbs.,"70.0""",Orthodox,10,5,0,,1.68,39%,2.99,53%,N/A,2.58,27%,0%,1.0,"Jul 06, 1981"
Robbie,Ring,Razor,"5' 9""",145 lbs.,"68.0""",Orthodox,6,1,0,,5.11,38%,9.15,38%,N/A,4.04,33%,0%,0.0,"Jul 14, 2000"
Donnie,Liles,,"5' 9""",170 lbs.,--,Orthodox,17,7,0,,2.25,41%,1.75,65%,N/A,2.50,28%,0%,1.2,--
Nick,Ring,The Promise,"6' 0""",185 lbs.,"74.0""",Southpaw,14,4,0,,3.52,42%,3.48,62%,N/A,1.36,36%,52%,0.3,"Feb 10, 1979"
Chris,Liguori,,"5' 9""",185 lbs.,--,Orthodox,15,10,0,,0.29,33%,1.44,0%,N/A,0.00,0%,50%,0.0,--
Scott,Lighty,,"6' 2""",205 lbs.,--,,6,2,0,,2.91,21%,4.24,49%,N/A,0.00,0%,0%,0.0,"Oct 15, 1978"
Zach,Light,,"5' 8""",170 lbs.,--,Orthodox,9,11,0,,0.81,33%,1.90,48%,N/A,1.36,100%,0%,0.0,"Feb 06, 1974"
Sam,Liera,,--,--,--,,12,10,0,,0.82,60%,7.36,51%,N/A,0.00,0%,66%,0.0,--
Jess,Liaudin,The Joker,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0,,2.46,51%,2.76,41%,N/A,3.28,53%,30%,1.6,--
Liang,Na,The Dragon Girl,"5' 5""",125 lbs.,"67.0""",Orthodox,19,8,0,,1.99,42%,3.95,36%,N/A,3.60,58%,25%,0.5,"Jul 27, 1996"
Rodrigo,Lidio,Dynamis,"5' 11""",155 lbs.,"73.0""",Orthodox,12,3,0,,0.97,50%,0.00,100%,N/A,0.00,0%,50%,0.0,"Jul 07, 1989"
Li,Yunfeng,,"5' 8""",135 lbs.,"68.0""",Orthodox,9,5,0,,0.53,29%,2.55,35%,N/A,0.00,0%,50%,0.0,"Mar 08, 1999"
Viktor,Pesta,,"6' 3""",240 lbs.,"77.0""",Orthodox,10,4,0,,1.58,36%,2.54,56%,N/A,3.29,28%,100%,0.0,"Jul 15, 1990"
Chuck,Liddell,The Iceman,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0,,2.97,35%,2.71,56%,N/A,0.44,75%,81%,0.0,"Dec 17, 1969"
Raphael,Pessoa,Bebezao,"6' 3""",262 lbs.,"78.0""",Orthodox,10,2,0,,2.16,26%,3.43,42%,N/A,0.00,0%,100%,0.0,"Mar 09, 1989"
Hernani,Perpetuo,,"6' 0""",170 lbs.,--,Orthodox,18,5,0,,2.73,29%,4.37,55%,N/A,0.00,0%,37%,0.5,"May 24, 1985"
Thiago,Perpetuo,Bodao,"5' 10""",170 lbs.,--,Orthodox,9,4,1,,5.39,69%,3.51,51%,N/A,2.82,50%,66%,0.0,"Dec 14, 1987"
Mike,Perry,Platinum,"5' 10""",170 lbs.,"71.0""",Orthodox,14,8,0,,4.32,47%,5.16,52%,N/A,0.81,40%,78%,0.2,"Sep 15, 1991"
Jay,Perrin,The Joker,"5' 7""",135 lbs.,"67.0""",Switch,10,7,0,,3.71,46%,3.90,44%,N/A,2.83,52%,58%,0.0,"Jun 15, 1993"
Markus,Perez,Maluko,"6' 1""",185 lbs.,"73.0""",Orthodox,12,5,0,,2.60,47%,3.72,52%,N/A,0.81,25%,77%,1.0,"Jun 22, 1988"
Rene,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0,,0.82,100%,2.47,60%,N/A,0.00,0%,66%,4.1,--
Pascal,Krauss,Panzer,"6' 1""",170 lbs.,--,Orthodox,11,2,0,,5.45,47%,3.88,59%,N/A,1.53,50%,60%,0.9,"Apr 19, 1987"
Anthony,Perosh,The Hippo,"6' 3""",205 lbs.,"75.0""",Orthodox,15,10,0,,2.27,43%,3.77,53%,N/A,2.03,22%,33%,1.1,"Oct 05, 1972"
Derrick,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,22,12,0,,2.07,37%,4.03,50%,N/A,3.18,50%,0%,0.8,"Jan 13, 1988"
Ailin,Perez,Fiona,"5' 5""",135 lbs.,"66.0""",Switch,10,2,0,,2.91,58%,1.35,57%,N/A,5.19,51%,75%,0.0,"Oct 05, 1994"
James,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,28,9,0,,4.79,49%,4.11,61%,N/A,0.96,18%,59%,0.9,"Jun 04, 1986"
Steve,Kozola,,--,155 lbs.,--,,8,0,0,,3.90,39%,4.36,50%,N/A,2.34,100%,100%,0.0,--
Marcus,Kowal,,--,135 lbs.,--,,3,1,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Iouri,Kotchkine,,"6' 2""",235 lbs.,--,Orthodox,7,4,1,,0.67,38%,4.92,15%,N/A,0.00,0%,25%,0.0,--
Matt,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,12,16,0,,1.47,22%,4.87,44%,N/A,1.00,25%,0%,0.0,--
Karolina,Kowalkiewicz,,"5' 3""",115 lbs.,"64.0""",Orthodox,16,8,0,,5.71,43%,5.55,58%,N/A,0.34,23%,73%,0.2,"Oct 15, 1985"
Alex,Huddleston,The Shaved Gorilla,"6' 7""",254 lbs.,--,,6,2,0,,2.47,42%,2.59,67%,N/A,0.00,0%,0%,0.9,"Aug 11, 1986"
Roger,Huerta,El Matador,"5' 9""",155 lbs.,"70.0""",Orthodox,23,9,1,,3.64,36%,2.33,56%,N/A,2.13,46%,52%,0.5,"May 20, 1983"
Collin,Huckbody,All In,"6' 3""",185 lbs.,"76.0""",Orthodox,8,2,0,,2.05,60%,2.73,42%,N/A,10.23,100%,0%,20.4,"Sep 29, 1994"
Casey,Huffman,Hellbent,"6' 3""",185 lbs.,--,,3,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Yuele,Huang,,--,145 lbs.,--,,13,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 04, 2000"
Huang,Feier,Muscle Barbie,"5' 5""",115 lbs.,"65.0""",Orthodox,14,8,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Mar 12, 1994"
Austin,Hubbard,Thud,"5' 10""",155 lbs.,"71.0""",Orthodox,17,7,0,,4.11,45%,3.74,56%,N/A,1.75,50%,65%,0.0,"Dec 22, 1991"
Carlos,Huachin,Perro Malo,"5' 4""",135 lbs.,"67.0""",Southpaw,10,5,1,,2.10,21%,4.80,50%,N/A,0.00,0%,66%,0.0,"Jun 04, 1996"
Brady,Huang,The Kung Fu Warrior,"5' 9""",135 lbs.,"69.0""",Orthodox,11,2,0,,4.62,37%,10.77,30%,N/A,0.00,0%,0%,0.0,"Dec 16, 1992"
Fernando,Bruno,Acougueiro,"5' 6""",145 lbs.,--,,15,4,0,,1.75,39%,1.78,48%,N/A,2.02,22%,56%,0.5,"Feb 24, 1982"
Steve,Bruno,Hollywood,"5' 10""",170 lbs.,--,Orthodox,15,6,0,,0.96,52%,3.38,36%,N/A,1.94,25%,46%,0.4,"Nov 03, 1981"
Cody,Brundage,,"6' 0""",185 lbs.,"72.0""",Orthodox,10,6,0,,1.62,54%,2.63,41%,N/A,2.31,50%,68%,0.9,"May 16, 1994"
Justin,Bruckmann,Loaf,"5' 9""",170 lbs.,--,Orthodox,7,3,0,,0.59,66%,5.91,16%,N/A,0.00,0%,33%,0.0,--
Derek,Brunson,The One,"6' 1""",185 lbs.,"77.0""",Southpaw,23,9,0,,3.51,47%,3.05,51%,N/A,3.14,33%,85%,0.6,"Jan 04, 1984"
Junie,Browning,,"5' 9""",155 lbs.,--,Orthodox,5,6,0,,3.76,48%,1.76,66%,N/A,3.53,66%,0%,3.5,"May 12, 1984"
Jules,Bruchez,,"6' 0""",205 lbs.,--,Southpaw,1,2,0,,0.69,50%,5.52,46%,N/A,0.00,0%,0%,0.0,"Aug 16, 1977"
Gleidson,Cutis,Poney,"5' 9""",155 lbs.,--,Orthodox,7,4,0,,2.99,52%,8.28,59%,N/A,0.00,0%,0%,0.0,"Feb 07, 1989"
CJ,Marsh,,--,--,--,,5,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
John,Marsh,,"6' 0""",265 lbs.,--,Orthodox,8,7,0,,0.83,42%,2.23,40%,N/A,0.43,100%,54%,0.4,"Sep 15, 1970"
Travis,Browne,Hapa,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,1,,2.93,41%,4.31,42%,N/A,1.21,68%,75%,0.2,"Jul 17, 1982"
Ion,Cutelaba,The Hulk,"6' 1""",205 lbs.,"75.0""",Southpaw,17,10,1,,4.44,43%,3.43,47%,N/A,4.17,57%,76%,0.0,"Dec 14, 1993"
Carmelo,Marrero,The Fury,"6' 0""",205 lbs.,"73.0""",Orthodox,16,6,0,,0.84,34%,2.04,54%,N/A,3.21,36%,36%,0.9,"Jan 26, 1981"
Cesar,Marscucci,,--,--,--,,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Danilo,Marques,,"6' 6""",205 lbs.,"77.0""",Orthodox,11,4,0,,1.44,79%,2.52,52%,N/A,3.93,28%,0%,0.8,"Dec 26, 1985"
Julian,Marquez,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72.0""",Orthodox,9,5,0,,4.85,45%,5.06,50%,N/A,0.00,0%,53%,2.6,"May 08, 1990"
Brendon,Marotte,The Kid,"5' 9""",145 lbs.,"70.0""",Orthodox,8,3,0,,0.41,50%,5.70,28%,N/A,0.00,0%,0%,0.0,"Jan 12, 1996"
Christina,Marks,,"5' 7""",125 lbs.,"69.0""",Orthodox,8,9,0,,5.00,58%,3.00,64%,N/A,7.50,100%,0%,0.0,"Nov 08, 1985"
Moise,Rimbon,Swamp,"5' 10""",205 lbs.,--,Orthodox,23,11,3,,0.80,34%,1.00,71%,N/A,1.00,50%,37%,0.0,"Apr 20, 1977"
Jason,Riley,The Juggernaut,"6' 6""",245 lbs.,--,,10,7,0,,0.00,0%,9.68,33%,N/A,0.00,0%,50%,0.0,"Sep 22, 1975"
Nate,Marquardt,The Great,"6' 0""",185 lbs.,"74.0""",Orthodox,35,19,2,,2.71,49%,2.32,55%,N/A,1.87,51%,70%,0.8,"Apr 20, 1979"
Jeremiah,Riggs,,"6' 0""",185 lbs.,--,,7,8,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 17, 1982"
Luke,Riley,,--,145 lbs.,--,,9,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jun 30, 1999"
Jordan,Rinaldi,All Day,"5' 10""",145 lbs.,"72.0""",Orthodox,14,7,0,,1.56,35%,2.32,59%,N/A,1.45,35%,20%,1.2,"Sep 25, 1987"
Aaron,Riley,,"5' 8""",155 lbs.,"69.0""",Southpaw,30,14,1,,3.45,34%,3.78,61%,N/A,1.18,34%,60%,0.1,"Dec 09, 1980"
Joe,Riggs,Diesel,"6' 0""",185 lbs.,"70.0""",Southpaw,44,17,0,,2.41,51%,1.69,57%,N/A,2.45,55%,62%,0.6,"Sep 23, 1982"
Brad,Riddell,Quake,"5' 7""",155 lbs.,"71.0""",Orthodox,10,4,0,,4.71,53%,3.53,53%,N/A,1.77,36%,63%,0.0,"Sep 30, 1991"
Matthew,Riddle,Deep Waters,"6' 1""",170 lbs.,"76.0""",Southpaw,8,3,0,,3.01,42%,2.74,54%,N/A,3.51,50%,89%,0.5,"Jan 14, 1986"
Chi,Lewis-Parry,Chopper,"6' 9""",243 lbs.,--,,7,0,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Aug 10, 1983"
Malik,Lewis,Hard Knock,"6' 0""",155 lbs.,"75.0""",Orthodox,6,2,0,,4.16,45%,5.66,40%,N/A,3.98,40%,50%,0.0,"Mar 04, 1996"
Bevon,Lewis,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0,,3.73,43%,2.67,54%,N/A,0.00,0%,66%,0.0,"May 05, 1991"
Li,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,19,9,0,,4.46,42%,3.95,56%,N/A,1.19,41%,60%,0.0,"Mar 20, 1988"
Brandon,Lewis,,"5' 4""",135 lbs.,"70.0""",Orthodox,6,2,0,,2.17,29%,3.63,53%,N/A,1.00,15%,20%,0.0,"Aug 02, 1997"
Kyle,Levinton,,--,--,--,,0,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Alex,Perez,,"5' 6""",125 lbs.,"65.0""",Orthodox,25,9,0,,4.19,46%,3.20,58%,N/A,2.04,46%,77%,0.8,"Mar 21, 1992"
Derrick,Lewis,The Black Beast,"6' 3""",260 lbs.,"79.0""",Orthodox,28,12,0,,2.48,50%,2.48,40%,N/A,0.57,26%,52%,0.0,"Feb 07, 1985"
John,Lewis,,"6' 0""",155 lbs.,--,Southpaw,3,4,3,,0.00,0%,4.00,66%,N/A,0.00,0%,0%,0.0,--
Natan,Levy,Lethal,"5' 9""",155 lbs.,"71.0""",Southpaw,8,2,0,,3.70,52%,3.19,58%,N/A,5.03,58%,41%,0.5,"Sep 30, 1991"
David,Levicki,,"6' 5""",275 lbs.,--,,1,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Jose,Perez,,--,--,--,,1,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Frankie,Perez,,"5' 11""",155 lbs.,"73.0""",Orthodox,10,4,0,,1.64,41%,2.17,54%,N/A,1.75,41%,50%,0.3,"May 11, 1989"
Alejandro,Perez,Turbo,"5' 6""",135 lbs.,"67.0""",Orthodox,23,9,1,,3.45,35%,3.18,61%,N/A,0.54,22%,70%,0.3,"Sep 02, 1989"
Philip,Perez,,"5' 5""",155 lbs.,--,Southpaw,7,5,1,,1.36,100%,0.68,66%,N/A,10.23,100%,0%,10.2,--
Erik,Perez,Goyito,"5' 8""",135 lbs.,"68.0""",Orthodox,17,6,0,,3.16,40%,2.09,66%,N/A,3.16,55%,69%,0.2,"Nov 19, 1989"
Luciano,Pereira,El Torito,--,125 lbs.,--,Orthodox,13,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jan 09, 2001"
Rolando,Perez,,"5' 8""",135 lbs.,--,Orthodox,7,5,2,,4.23,36%,4.83,63%,N/A,0.00,0%,100%,0.0,--
Daniel,Pereira,Gaucho,"5' 10""",185 lbs.,--,,9,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 13, 1990"
Ilya,Kotau,,--,170 lbs.,--,,1,2,0,,3.94,40%,4.38,44%,N/A,6.57,100%,100%,6.6,--
Roman,Kopylov,,"6' 0""",185 lbs.,"75.0""",Southpaw,13,3,0,,4.33,54%,4.06,58%,N/A,1.20,53%,87%,0.0,"May 04, 1991"
Steven,Koslow,Obi Won Shinobi The Pillow,"5' 7""",125 lbs.,"69.0""",Switch,6,1,0,,0.77,37%,3.73,40%,N/A,5.28,55%,0%,1.1,"Jan 22, 1997"
Naoyuki,Kotani,,"5' 8""",155 lbs.,"66.0""",Southpaw,34,14,7,,1.02,31%,2.89,50%,N/A,0.83,16%,46%,0.8,"Dec 08, 1981"
Andrey,Koreshkov,Spartan,"6' 0""",170 lbs.,--,,19,2,0,,2.84,39%,1.92,63%,N/A,4.80,53%,0%,0.0,"Aug 23, 1990"
Andrei,Kopylov,,"6' 2""",265 lbs.,--,Orthodox,6,11,0,,0.33,66%,4.31,40%,N/A,0.00,0%,0%,0.0,"Jul 16, 1965"
Josh,Koscheck,,"5' 10""",170 lbs.,"73.0""",Orthodox,17,11,0,,1.79,36%,2.27,63%,N/A,2.46,48%,64%,0.4,"Nov 30, 1977"
Bruno,Korea,,"5' 6""",135 lbs.,"65.0""",,7,3,0,,2.12,34%,3.96,42%,N/A,0.00,0%,25%,0.0,"Jun 28, 1991"
Shane,Howell,,"5' 8""",125 lbs.,--,Orthodox,13,10,0,,1.27,32%,2.55,42%,N/A,0.00,0%,20%,0.0,"Nov 28, 1983"
Hu,Yaozong,Totoro,"6' 3""",185 lbs.,"72.0""",Orthodox,3,3,0,,3.35,48%,5.09,35%,N/A,0.00,0%,33%,0.4,"Apr 07, 1995"
Cheick,Kongo,,"6' 4""",240 lbs.,"82.0""",Orthodox,27,10,2,,3.33,56%,1.28,54%,N/A,2.30,56%,52%,0.2,"May 17, 1975"
Harold,Howard,,"6' 2""",240 lbs.,--,Orthodox,1,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
John,Howard,Doomsday,"5' 7""",170 lbs.,"72.0""",Orthodox,24,13,0,,2.15,50%,3.08,51%,N/A,2.70,49%,53%,0.4,"Mar 01, 1983"
Brian,Houston,B-Hue,"6' 2""",185 lbs.,--,Orthodox,4,6,0,,1.90,35%,3.67,53%,N/A,0.95,100%,87%,0.0,"Apr 26, 1981"
Jamie,Houston,,--,185 lbs.,--,,3,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Trey,Houston,,"5' 11""",185 lbs.,--,,11,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Jeff,Hougland,Hellbound,"5' 7""",135 lbs.,"68.0""",Orthodox,10,6,0,,1.86,48%,3.46,47%,N/A,0.86,18%,0%,1.1,"Aug 02, 1978"
Saeed,Hosseini,,--,--,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Humberto,Brown Morrison,,"5' 10""",145 lbs.,--,,4,6,0,,1.71,50%,2.19,62%,N/A,1.43,25%,0%,0.0,"Nov 03, 1984"
John,Hosman,,"5' 10""",135 lbs.,--,Southpaw,18,8,1,,1.11,38%,1.52,45%,N/A,0.00,0%,46%,0.0,"Nov 13, 1980"
Frederick,Brown,,"6' 0""",235 lbs.,--,,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
TJ,Brown,Downtown,"5' 9""",145 lbs.,"72.0""",Switch,17,11,0,,3.37,44%,2.89,49%,N/A,3.41,57%,36%,1.3,"May 22, 1990"
Damien,Brown,Beatdown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,0,,3.66,38%,4.86,50%,N/A,0.68,27%,53%,0.7,"Dec 25, 1984"
Chris,Brown,,--,170 lbs.,--,,10,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Randy,Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,19,5,0,,4.38,47%,3.20,54%,N/A,0.72,39%,70%,0.6,"Jul 08, 1990"
Terrell,Brown,,--,185 lbs.,--,,3,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Apr 13, 1983"
Todd,Brown,Bulldog,"5' 11""",205 lbs.,--,Orthodox,16,4,0,,2.15,45%,3.85,48%,N/A,0.00,0%,50%,0.0,"Dec 13, 1976"
Dominic,Brown,,"5' 11""",190 lbs.,--,,16,23,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jun 04, 1982"
Pat,Curran,Paddy Mike,"5' 9""",145 lbs.,--,,22,7,0,,4.70,58%,4.40,63%,N/A,2.50,62%,66%,0.0,"Aug 31, 1987"
Will,Currie,Drago,"6' 3""",185 lbs.,"76.0""",Switch,12,4,0,,2.73,47%,5.67,44%,N/A,2.00,13%,50%,0.0,"Nov 12, 1998"
Kailin,Curran,,"5' 4""",115 lbs.,"65.0""",Orthodox,4,5,0,,3.89,43%,4.75,53%,N/A,2.00,57%,61%,0.6,"Apr 11, 1991"
Chris,Curtis,Action-Man,"5' 10""",185 lbs.,"75.0""",Orthodox,31,11,0,,5.76,51%,6.16,52%,N/A,0.00,0%,82%,0.0,"Jul 15, 1987"
Jeff,Curran,Big Frog,"5' 6""",135 lbs.,"69.0""",Orthodox,36,18,1,,1.54,31%,2.48,60%,N/A,0.35,12%,35%,1.2,"Sep 02, 1977"
Larry,Cureton,,"6' 2""",240 lbs.,--,Orthodox,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Santo,Curatolo,,"5' 3""",125 lbs.,"62.0""",Southpaw,6,2,0,,1.40,39%,6.07,34%,N/A,2.00,33%,100%,0.0,"Jan 18, 1995"
AJ,Cunningham,The Savage,"5' 10""",145 lbs.,"71.0""",Orthodox,11,4,0,,7.66,29%,11.90,48%,N/A,0.00,0%,33%,0.0,"Sep 07, 1994"
Chepe,Mariscal,Machine Gun,"5' 7""",145 lbs.,"69.0""",Orthodox,17,6,0,,4.75,57%,3.24,50%,N/A,3.09,39%,72%,0.3,"Oct 27, 1992"
Alton,Cunningham,The Bo-Man,"6' 2""",205 lbs.,"77.0""",Orthodox,4,2,0,,3.33,75%,4.94,20%,N/A,1.67,10%,100%,0.0,"Jun 24, 1993"
Marcos,Mariano,Dhalsim,"6' 1""",155 lbs.,"76.0""",Switch,6,6,0,,0.25,27%,2.11,43%,N/A,0.00,0%,28%,0.0,"Oct 12, 1986"
Enrique,Marin,Wasabi,"5' 10""",170 lbs.,--,,10,4,0,,1.43,33%,3.00,50%,N/A,2.50,38%,60%,1.0,"Sep 02, 1986"
Jose,Maria,No Chance,"5' 5""",125 lbs.,--,Orthodox,37,7,0,,3.20,53%,3.98,52%,N/A,2.32,27%,33%,2.3,"Jan 04, 1982"
Daniel,Marcos,Soncora,"5' 7""",135 lbs.,"69.0""",Orthodox,16,0,0,,5.94,52%,4.00,63%,N/A,0.25,50%,87%,0.0,"Mar 07, 1993"
Jimi,Manuwa,Poster Boy,"6' 1""",205 lbs.,"79.0""",Orthodox,17,6,0,,3.43,54%,3.97,49%,N/A,0.53,18%,70%,0.4,"Feb 18, 1980"
Dave,Rickels,The Caveman,"5' 11""",155 lbs.,--,,18,4,0,,4.29,59%,5.53,42%,N/A,0.00,0%,25%,0.0,"Jan 05, 1989"
Haisam,Rida,,--,--,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 25, 1993"
Cristiano,Marcello,,"5' 9""",155 lbs.,"72.0""",Orthodox,13,6,0,,2.56,33%,3.61,58%,N/A,0.44,11%,20%,0.9,"Dec 03, 1977"
John,Richard,,--,205 lbs.,--,,3,5,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 22, 1982"
Mike,Richman,The Marine,"5' 8""",135 lbs.,--,,18,7,0,,4.06,44%,3.49,43%,N/A,0.00,0%,76%,0.0,"Jun 23, 1985"
Rex,Richards,,"6' 5""",265 lbs.,--,,7,2,0,,17.65,58%,5.29,72%,N/A,0.00,0%,0%,0.0,--
Matt,Ricehouse,,--,155 lbs.,--,,6,1,0,,3.70,44%,4.80,47%,N/A,1.00,22%,81%,0.0,"Mar 11, 1987"
Alex,Ricci,,"5' 11""",155 lbs.,--,Orthodox,10,5,0,,2.48,41%,2.53,64%,N/A,0.00,0%,64%,0.0,"Jul 21, 1982"
