First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,,2.50,51%,0.46,59%,N/A,3.06,44%,0%,0.0,"Dec 08, 2000"
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,,1.41,45%,2.20,56%,N/A,1.76,38%,100%,0.0,"Sep 17, 1984"
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jun 10, 1984"
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 09, 1983"
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,8,0,,6.16,52%,4.52,47%,N/A,0.86,46%,56%,0.1,"Jun 09, 1989"
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,,1.65,38%,4.77,53%,N/A,0.37,7%,22%,0.7,"Aug 06, 1974"
Levi,Alford,,--,--,--,,1,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,,1.61,45%,2.89,42%,N/A,0.35,20%,66%,0.7,"May 05, 1989"
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,4,0,,5.23,55%,1.83,71%,N/A,0.00,0%,57%,0.0,"Jul 28, 1995"
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,,0.88,19%,2.20,66%,N/A,4.71,26%,0%,0.0,"Sep 25, 1977"
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,,3.06,54%,3.20,52%,N/A,1.19,57%,33%,0.0,"Mar 22, 1972"
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,2,0,,3.84,43%,3.55,48%,N/A,0.87,20%,100%,0.9,"Jun 27, 1990"
Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,5,0,1,,2.37,28%,4.80,48%,N/A,2.50,15%,50%,0.0,"Oct 17, 1990"
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,,2.10,39%,2.91,54%,N/A,1.85,38%,70%,1.2,"Jul 05, 1979"
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,,2.90,40%,4.38,56%,N/A,2.26,41%,80%,0.3,"Oct 14, 1986"
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,,3.13,44%,3.13,58%,N/A,0.00,0%,57%,0.0,"Sep 14, 1991"
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,13,7,0,,3.88,46%,4.38,60%,N/A,0.66,23%,66%,0.0,"Sep 29, 1992"
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,8,0,,3.63,46%,3.73,60%,N/A,0.51,53%,91%,0.1,"Sep 09, 1986"
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,7,0,,5.24,40%,6.33,57%,N/A,0.16,50%,76%,0.2,"Mar 26, 1988"
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,,2.91,54%,6.26,26%,N/A,2.57,40%,33%,0.0,"Aug 25, 1977"
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,,1.93,38%,2.63,50%,N/A,2.00,68%,81%,0.9,"Nov 18, 1982"
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,,3.59,38%,5.08,59%,N/A,0.93,100%,0%,0.0,"Aug 17, 1988"
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,,0.32,13%,3.34,25%,N/A,0.00,0%,0%,0.0,--
Juan,Alcain,,--,--,--,,1,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,,2.72,45%,2.79,49%,N/A,1.44,62%,60%,0.8,"Aug 04, 1980"
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jun 10, 1970"
Brett,Albee,,--,225 lbs.,--,,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,,3.05,49%,2.82,35%,N/A,0.00,0%,50%,6.1,"Oct 13, 1986"
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,1,0,,2.80,39%,3.07,63%,N/A,1.71,33%,40%,0.7,"Oct 27, 1993"
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,17,9,2,,2.64,32%,4.67,57%,N/A,1.99,45%,75%,0.0,"Dec 14, 1991"
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,,3.98,51%,6.08,52%,N/A,1.54,37%,100%,0.0,"Mar 15, 1991"
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,,4.83,47%,5.56,38%,N/A,2.27,50%,77%,0.4,"Jul 14, 1990"
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,,1.36,19%,3.61,53%,N/A,0.00,0%,0%,0.0,"Jul 14, 1973"
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4,0,,4.14,34%,3.60,59%,N/A,2.32,30%,20%,0.0,"Apr 10, 1995"
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,,3.10,41%,3.62,57%,N/A,2.29,67%,92%,1.0,"Jul 29, 1975"
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,,0.59,45%,2.58,55%,N/A,0.00,0%,8%,0.5,"Jul 27, 1974"
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,,3.84,65%,6.66,23%,N/A,2.06,50%,42%,0.0,"Jun 07, 1991"
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,,3.27,39%,3.14,60%,N/A,0.65,14%,57%,0.0,"May 14, 1982"
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,,1.80,25%,3.97,57%,N/A,1.00,40%,87%,0.0,"Dec 19, 1991"
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,,2.97,34%,2.84,55%,N/A,2.58,45%,65%,0.2,"Oct 12, 1987"
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,,5.00,40%,11.25,25%,N/A,0.00,0%,0%,0.0,"Jun 19, 1994"
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0,,0.73,33%,2.89,45%,N/A,1.16,20%,33%,0.6,"Jan 15, 1996"
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,,2.87,33%,6.33,59%,N/A,0.00,0%,71%,0.0,--
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,10,2,0,,1.49,50%,1.11,59%,N/A,1.90,33%,40%,1.4,"Mar 13, 1996"
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,,4.93,50%,7.19,53%,N/A,0.94,25%,50%,0.2,"May 08, 1982"
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Feb 10, 1988"
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,,2.54,37%,4.04,48%,N/A,0.00,0%,60%,0.0,"Nov 25, 1991"
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Feb 16, 1992"
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,,3.96,40%,4.81,52%,N/A,0.16,16%,78%,0.0,"Sep 07, 1988"
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,,0.69,11%,4.56,42%,N/A,0.00,0%,0%,0.0,"Jan 13, 1979"
Mariya,Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0,,4.43,54%,3.62,52%,N/A,0.55,66%,45%,0.8,"Apr 07, 1997"
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,3,0,,3.93,48%,3.11,56%,N/A,0.05,14%,77%,0.1,"Jul 22, 1989"
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Apr 26, 1965"
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,,3.65,40%,3.04,64%,N/A,0.00,0%,100%,0.5,"Jul 29, 1992"
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,,2.80,55%,3.15,48%,N/A,3.47,57%,50%,1.3,"Jun 30, 1978"
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,,3.80,33%,4.49,56%,N/A,0.33,50%,0%,0.0,"Nov 27, 1991"
