Name,Ht,Wt,Reach,Stance,Career W,Career L,DOB,born_year
TJ Laramie,"5' 6""",145 lbs.,"66.0""",Orthodox,12,5,"Oct 15, 1997",1997
Jeremy Larsen,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,"May 18, 1984",1984
Icho Larenas,"6' 3""",235 lbs.,--,Orthodox,6,5,"Mar 12, 1980",1980
Brock Larson,"5' 11""",170 lbs.,"71.0""",Southpaw,42,10,"Aug 23, 1977",1977
Anthony Lapsley,"5' 9""",170 lbs.,--,Southpaw,23,7,"Feb 13, 1980",1980
Taylor Lapilus,"5' 6""",135 lbs.,"73.0""",Southpaw,20,4,"Apr 08, 1992",1992
Kyle Nelson,"5' 11""",145 lbs.,"71.0""",Switch,16,5,"Apr 20, 1991",1991
Lina Lansberg,"5' 7""",135 lbs.,"65.0""",Orthodox,10,8,"Mar 13, 1982",1982
Chad Laprise,"5' 10""",170 lbs.,"71.0""",Orthodox,13,4,"Jul 23, 1986",1986
Gunnar Nelson,"5' 11""",170 lbs.,"72.0""",Switch,19,5,"Jul 28, 1988",1988
Roy Nelson,"6' 0""",263 lbs.,"73.0""",Orthodox,22,14,"Jun 20, 1976",1976
Shane Nelson,"5' 9""",155 lbs.,"70.0""",Southpaw,16,7,"Nov 29, 1984",1984
Nicolae Negumereanu,"6' 0""",205 lbs.,"78.0""",Orthodox,13,2,"Sep 04, 1994",1994
Steve Nelmark,"6' 0""",240 lbs.,--,Orthodox,2,1,--,--
Josh Neer,"5' 11""",170 lbs.,"72.0""",Orthodox,36,16,"Mar 24, 1983",1983
Stanislav Nedkov,"5' 11""",205 lbs.,"71.0""",Orthodox,12,2,"Dec 09, 1981",1981
Geoff Neal,"5' 11""",170 lbs.,"75.0""",Southpaw,15,6,"Aug 28, 1990",1990
Josh Neal,"6' 0""",185 lbs.,--,,5,11,--,--
Joe Neal,"5' 6""",135 lbs.,--,,6,2,"Jul 29, 1986",1986
Kamuela Kirk,"5' 10""",155 lbs.,"75.0""",Switch,12,6,"Apr 13, 1994",1994
Yurij Kiseliov,"5' 8""",185 lbs.,--,Orthodox,5,4,--,--
Yusaku Kinoshita,"6' 0""",170 lbs.,"71.0""",Southpaw,6,3,"Aug 21, 2000",2000
Taiei Kin,"5' 11""",185 lbs.,--,Orthodox,6,3,"Jul 08, 1970",1970
Kyle Kingsbury,"6' 4""",205 lbs.,"79.0""",Orthodox,11,6,"Mar 22, 1982",1982
Rob Kimmons,"5' 10""",185 lbs.,"73.0""",Orthodox,25,9,"Jan 30, 1981",1981
Mike King,"6' 3""",185 lbs.,--,,5,1,"Aug 04, 1983",1983
Dustin Kimura,"5' 7""",135 lbs.,"71.0""",Orthodox,11,3,"May 21, 1989",1989
Jeremy Kimball,"6' 0""",205 lbs.,"72.0""",Switch,15,8,"Jan 03, 1991",1991
So Yul Kim,--,115 lbs.,--,,8,1,"May 25, 1997",1997
Dave Courchaine,"5' 8""",170 lbs.,--,,20,7,--,--
KyuSung Kim,"5' 11""",125 lbs.,"69.0""",Orthodox,12,6,"Nov 05, 1992",1992
Rashad Coulter,"5' 11""",205 lbs.,"76.0""",Orthodox,9,4,"Nov 27, 1981",1981
Randy Couture,"6' 1""",205 lbs.,"75.0""",Orthodox,19,11,"Jun 22, 1963",1963
JC Cottrell,"5' 9""",155 lbs.,--,Orthodox,17,5,"Nov 04, 1989",1989
Patrick Cote,"5' 11""",170 lbs.,"75.0""",Orthodox,23,11,"Feb 29, 1980",1980
JR Coughran,"5' 6""",145 lbs.,--,Orthodox,4,1,"May 17, 1994",1994
Melquizael Costa,"5' 10""",145 lbs.,"71.0""",Southpaw,21,7,"Sep 14, 1996",1996
Oscar Cota,"6' 0""",230 lbs.,"72.0""",Orthodox,11,3,"Oct 15, 1984",1984
Alessandro Costa,"5' 4""",125 lbs.,"67.0""",Orthodox,14,4,"Jan 28, 1996",1996
Paulo Costa,"6' 1""",185 lbs.,"72.0""",Orthodox,14,4,"Apr 21, 1991",1991
Randy Costa,"5' 9""",135 lbs.,"73.0""",Switch,6,4,"Jul 06, 1994",1994
Justin Buchholz,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,"Aug 22, 1983",1983
Fernando Bruno,"5' 6""",145 lbs.,--,,15,4,"Feb 24, 1982",1982
Lukasz Brzeski,"6' 4""",236 lbs.,"78.0""",Orthodox,9,5,"May 17, 1992",1992
Robert Bryczek,"6' 0""",185 lbs.,"75.0""",Orthodox,17,6,"Jul 04, 1990",1990
Josh Bryant,"5' 10""",185 lbs.,--,Orthodox,15,4,"Apr 23, 1980",1980
Derek Brunson,"6' 1""",185 lbs.,"77.0""",Southpaw,23,9,"Jan 04, 1984",1984
Dennis Bryant,"6' 0""",205 lbs.,--,Orthodox,5,2,"Oct 18, 1985",1985
Steve Bruno,"5' 10""",170 lbs.,--,Orthodox,15,6,"Nov 03, 1981",1981
Justin Bruckmann,"5' 9""",170 lbs.,--,Orthodox,7,3,--,--
Lionel Lanham,--,205 lbs.,--,,5,1,"Aug 31, 1980",1980
Cody Brundage,"6' 0""",185 lbs.,"72.0""",Orthodox,10,6,"May 16, 1994",1994
Jeremy Lang,"5' 11""",205 lbs.,--,Southpaw,21,2,"May 11, 1975",1975
Austen Lane,"6' 6""",245 lbs.,"80.0""",Orthodox,12,5,"Nov 09, 1987",1987
Aaron Lanfranco,--,155 lbs.,--,,5,1,"Aug 26, 1986",1986
Nate Landwehr,"5' 9""",145 lbs.,"72.0""",Orthodox,18,5,"Jun 06, 1988",1988
Jules Bruchez,"6' 0""",205 lbs.,--,Southpaw,1,2,"Aug 16, 1977",1977
Jose Landi-Jons,"5' 11""",170 lbs.,--,Orthodox,29,16,"Sep 09, 1973",1973
Jason Lambert,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13,"Jun 03, 1975",1975
Sean Lally,"6' 0""",170 lbs.,--,Orthodox,7,3,"Nov 04, 1990",1990
Ricardo Lamas,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8,"May 21, 1982",1982
Dustin Neace,"5' 9""",145 lbs.,"69.0""",,25,21,"Sep 12, 1986",1986
Tafon Nchukwi,"6' 0""",185 lbs.,"77.0""",Orthodox,6,4,"Oct 14, 1994",1994
Tim Lajcik,"6' 1""",225 lbs.,--,Orthodox,7,6,"Jun 21, 1965",1965
Danny Navarro,"5' 10""",155 lbs.,--,,17,7,"May 27, 1983",1983
Todd Lally,"5' 7""",145 lbs.,--,Orthodox,2,1,--,--
Ismail Naurdiev,"5' 10""",170 lbs.,"74.0""",Orthodox,19,4,"Aug 18, 1996",1996
Marcio Navarro,"6' 0""",155 lbs.,--,,14,14,"Sep 17, 1978",1978
Kevin Natividad,"5' 6""",135 lbs.,"70.0""",Orthodox,9,4,"Apr 02, 1993",1993
Pawel Nastula,"6' 0""",230 lbs.,--,Southpaw,5,6,"Jun 26, 1970",1970
Bobby Nash,"6' 0""",170 lbs.,"74.0""",Orthodox,8,4,"Mar 26, 1990",1990
Rafael Natal,"6' 0""",185 lbs.,"77.0""",Orthodox,21,9,"Dec 25, 1982",1982
Nasrudin Nasrudinov,"6' 0""",205 lbs.,"71.0""",Orthodox,9,1,"Oct 06, 1991",1991
SangWon Kim,"5' 9""",145 lbs.,"69.0""",Orthodox,10,6,"Sep 01, 1993",1993
Reza Nasri,"5' 11""",205 lbs.,--,Orthodox,0,1,--,--
Sangwook Kim,"6' 0""",155 lbs.,"72.0""",Orthodox,9,3,"Oct 17, 1993",1993
HanSeul Kim,"6' 1""",170 lbs.,"73.0""",Southpaw,13,6,"Jun 19, 1990",1990
KyeungPyo Kim,"5' 9""",155 lbs.,"71.0""",Orthodox,11,4,"Jan 29, 1992",1992
Ji Yeon Kim,"5' 7""",125 lbs.,"72.0""",Orthodox,9,7,"Oct 18, 1989",1989
Jong Man Kim,"5' 7""",139 lbs.,--,Orthodox,23,11,"Mar 03, 1978",1978
Min Soo Kim,"6' 1""",255 lbs.,--,Southpaw,3,7,"Jan 22, 1975",1975
MinWoo Kim,"5' 8""",135 lbs.,"72.0""",Orthodox,10,2,"Jul 21, 1993",1993
Jong Won Kim,"5' 7""",139 lbs.,--,Orthodox,0,1,--,--
Jong Wang Kim,"6' 1""",240 lbs.,--,,13,23,--,--
Dae Won Kim,"5' 11""",180 lbs.,--,Orthodox,11,7,--,--
Da Woon Jung,"6' 4""",205 lbs.,"78.0""",Orthodox,15,5,"Dec 07, 1993",1993
Scott Junk,"6' 1""",265 lbs.,--,Orthodox,8,3,"Dec 17, 1978",1978
Myles Jury,"5' 10""",145 lbs.,"73.0""",Orthodox,17,4,"Oct 31, 1988",1988
Cristiane Justino,"5' 8""",145 lbs.,"68.0""",Orthodox,21,2,"Jul 09, 1985",1985
Young Sam Jung,"5' 8""",139 lbs.,--,Orthodox,4,8,"Oct 27, 1985",1985
Chan Sung Jung,"5' 7""",145 lbs.,"72.0""",Orthodox,17,8,"Mar 17, 1987",1987
Bu-Kyung Jung,"5' 7""",154 lbs.,--,Orthodox,0,4,"May 26, 1978",1978
Guilherme Costa,--,155 lbs.,--,,7,1,--,--
Louis Cosce,"5' 9""",170 lbs.,"71.0""",Orthodox,7,2,"Aug 27, 1995",1995
Reyes Cortez Jr.,"5' 7""",135 lbs.,"68.0""",Orthodox,7,3,"Jul 31, 1992",1992
Jadson Costa,"5' 7""",155 lbs.,--,Orthodox,22,8,--,--
Miguel Cosio,"6' 4""",205 lbs.,--,,1,13,--,--
Orion Cosce,"5' 11""",170 lbs.,"71.0""",Switch,8,2,"Jul 15, 1994",1994
Waldo Cortes-Acosta,"6' 4""",260 lbs.,"78.0""",Orthodox,12,1,"Oct 03, 1991",1991
Tracy Cortez,"5' 5""",125 lbs.,"65.0""",Orthodox,11,2,"Dec 10, 1993",1993
Chad Corvin,"6' 5""",255 lbs.,--,,5,0,--,--
Wesley Correira,"6' 3""",260 lbs.,--,Orthodox,20,16,"Nov 11, 1978",1978
Bethe Correia,"5' 5""",135 lbs.,"64.0""",Orthodox,11,6,"Jun 22, 1983",1983
Junie Browning,"5' 9""",155 lbs.,--,Orthodox,5,6,"May 12, 1984",1984
Travis Browne,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,"Jul 17, 1982",1982
TJ Brown,"5' 9""",145 lbs.,"72.0""",Switch,17,11,"May 22, 1990",1990
Humberto Brown Morrison,"5' 10""",145 lbs.,--,,4,6,"Nov 03, 1984",1984
Damien Brown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,"Dec 25, 1984",1984
Randy Brown,"6' 3""",170 lbs.,"78.0""",Orthodox,19,5,"Jul 08, 1990",1990
Chris Brown,--,170 lbs.,--,,10,1,--,--
Terrell Brown,--,185 lbs.,--,,3,1,"Apr 13, 1983",1983
Frederick Brown,"6' 0""",235 lbs.,--,,3,2,--,--
Dominic Brown,"5' 11""",190 lbs.,--,,16,23,"Jun 04, 1982",1982
Todd Brown,"5' 11""",205 lbs.,--,Orthodox,16,4,"Dec 13, 1976",1976
Tina Lahdemaki,"5' 2""",115 lbs.,--,Orthodox,5,1,"May 28, 1988",1988
Yohan Lainesse,"6' 1""",170 lbs.,"76.0""",Orthodox,9,3,"Aug 14, 1992",1992
Noad Lahat,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,"Jun 08, 1984",1984
Ben Lagman,"6' 2""",185 lbs.,--,,6,5,"Sep 04, 1986",1986
Corinne Laframboise,--,125 lbs.,--,,8,4,--,--
Aspen Ladd,"5' 6""",135 lbs.,"66.0""",Orthodox,9,3,"Mar 01, 1995",1995
Ryan LaFlare,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3,"Oct 01, 1983",1983
Kemran Lachinov,--,170 lbs.,--,,3,2,--,--
Daniel Lacerda,"5' 6""",125 lbs.,"70.0""",Switch,11,6,"Jun 05, 1996",1996
Luan Lacerda,"5' 7""",135 lbs.,"71.0""",Orthodox,12,3,"Jan 07, 1993",1993
Jeremiah Labiano,"5' 10""",135 lbs.,--,,11,5,--,--
Roger Narvaez,"6' 3""",185 lbs.,--,Southpaw,8,3,"Sep 09, 1983",1983
Rodrigo Nascimento,"6' 2""",246 lbs.,"80.0""",Orthodox,11,2,"Nov 26, 1992",1992
Nad Narimani,"5' 8""",145 lbs.,"70.0""",Orthodox,12,4,"Apr 14, 1987",1987
Allan Nascimento,"5' 8""",125 lbs.,"69.0""",Orthodox,20,6,"Sep 11, 1991",1991
Fabio Nascimento,"5' 10""",185 lbs.,--,Orthodox,11,6,--,--
Rose Namajunas,"5' 5""",125 lbs.,"65.0""",Orthodox,14,6,"Jun 29, 1992",1992
Yasuhito Namekawa,"5' 9""",205 lbs.,--,Orthodox,25,16,"Oct 27, 1974",1974
Tyson Nam,"5' 7""",125 lbs.,"68.0""",Orthodox,21,14,"Oct 06, 1983",1983
Yui Chul Nam,"5' 9""",145 lbs.,--,Orthodox,18,8,"Jul 16, 1981",1981
Jutaro Nakao,"5' 9""",170 lbs.,--,Southpaw,25,19,"Nov 30, 1970",1970
Yoshihiro Nakao,"6' 0""",220 lbs.,--,Southpaw,9,3,"Jun 25, 1972",1972
Sanae Kikuta,"5' 9""",200 lbs.,--,Orthodox,31,9,"Sep 10, 1971",1971
Jin Oh Kim,"5' 9""",205 lbs.,--,Orthodox,0,4,--,--
Dong Hyun Kim,"6' 2""",170 lbs.,"76.0""",Southpaw,22,4,"Nov 17, 1981",1981
Jacob Kilburn,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,"Jun 28, 1995",1995
Katsunori Kikuno,"5' 8""",145 lbs.,"66.0""",Orthodox,24,8,"Oct 31, 1981",1981
Aliaskhab Khizriev,"5' 9""",185 lbs.,"74.0""",Southpaw,14,0,"Aug 24, 1990",1990
Pannie Kianzad,"5' 7""",135 lbs.,"66.0""",Orthodox,17,9,"Dec 08, 1991",1991
Akira Kikuchi,"5' 8""",155 lbs.,--,Orthodox,16,4,"Jul 23, 1978",1978
Alfred Khashakyan,"5' 8""",135 lbs.,"70.0""",Orthodox,8,3,"Jul 17, 1988",1988
Sergei Kharitonov,"6' 0""",245 lbs.,--,Orthodox,26,6,"Aug 18, 1980",1980
WonBin Ki,"5' 11""",155 lbs.,"73.0""",Orthodox,18,9,"Feb 11, 1991",1991
Luke Jumeau,"5' 11""",170 lbs.,"72.0""",Orthodox,13,5,"Feb 12, 1988",1988
Anshul Jubli,"6' 0""",155 lbs.,"69.0""",Switch,7,1,"Jan 13, 1995",1995
Steve Judson,"5' 11""",230 lbs.,--,Orthodox,0,2,--,--
Carli Judice,"5' 7""",125 lbs.,"68.0""",Southpaw,3,2,"Mar 02, 1999",1999
Ernie Juarez,"5' 8""",145 lbs.,"70.0""",,8,1,"Jan 12, 1998",1998
Tony Juarez,--,155 lbs.,--,,1,12,--,--
Jesse Juarez,"6' 1""",170 lbs.,--,Orthodox,23,12,"May 08, 1981",1981
Dustin Joynson,"6' 6""",244 lbs.,"78.0""",Orthodox,5,0,"Oct 14, 1985",1985
Mike Joy,"5' 6""",155 lbs.,--,Southpaw,11,8,"Jul 18, 1985",1985
Kevin Jousset,"6' 2""",170 lbs.,"75.0""",Orthodox,10,2,"May 02, 1993",1993
Henry Corrales,"5' 9""",145 lbs.,--,,13,3,--,--
Nora Cornolle,"5' 7""",135 lbs.,"67.0""",Orthodox,8,1,"Dec 06, 1989",1989
Charles Jourdain,"5' 9""",145 lbs.,"69.0""",Switch,15,8,"Nov 27, 1995",1995
Clint Coronel,--,155 lbs.,--,,2,5,--,--
Michael Cora,"6' 1""",170 lbs.,"77.0""",Southpaw,4,1,"Aug 24, 1989",1989
Daniel Cormier,"5' 11""",235 lbs.,"72.0""",Orthodox,22,3,"Mar 20, 1979",1979
Akira Corassani,"5' 8""",145 lbs.,"68.0""",Orthodox,12,6,"Aug 27, 1982",1982
Muhsin Corbbrey,"5' 10""",155 lbs.,--,Orthodox,17,9,"May 18, 1978",1978
Chris Cope,"6' 0""",170 lbs.,"72.0""",Orthodox,8,4,"Mar 05, 1983",1983
Josh Copeland,"6' 1""",265 lbs.,--,Orthodox,12,4,"Oct 20, 1982",1982
Kit Cope,"6' 0""",170 lbs.,--,Orthodox,6,7,"Mar 17, 1977",1977
Amanda Cooper,"5' 3""",115 lbs.,"64.0""",Switch,3,5,"Oct 22, 1991",1991
Mike Brown,"5' 6""",145 lbs.,"70.0""",Orthodox,26,9,"Sep 08, 1975",1975
Lee Brousseau,"6' 1""",205 lbs.,--,,5,3,"Oct 04, 1974",1974
Jarred Brooks,"5' 3""",125 lbs.,"62.0""",Switch,13,2,"May 02, 1993",1993
Matt Brown,"6' 0""",170 lbs.,"75.0""",Orthodox,26,19,"Jan 10, 1981",1981
Rob Broughton,"6' 2""",265 lbs.,"74.0""",Orthodox,16,7,"Mar 03, 1983",1983
Will Brooks,"5' 10""",155 lbs.,"72.0""",Orthodox,18,4,"Oct 08, 1986",1986
Jonathan Brookins,"6' 0""",145 lbs.,"74.0""",Southpaw,16,10,"Aug 13, 1985",1985
Drew Brokenshire,--,--,--,,16,6,--,--
Antwain Britt,"6' 1""",205 lbs.,"77.0""",,11,6,"May 09, 1978",1978
Mike Bronzoulis,"6' 0""",155 lbs.,--,,18,9,"Jan 05, 1979",1979
Achmed Labasanov,"6' 3""",215 lbs.,--,Orthodox,7,4,"Apr 24, 1978",1978
Josh LaBerge,"5' 10""",145 lbs.,--,,11,6,--,--
Yusaku Nakamura,"5' 5""",145 lbs.,--,,14,4,"Jun 21, 1986",1986
Rinya Nakamura,"5' 7""",135 lbs.,"68.0""",Southpaw,9,0,"Mar 23, 1995",1995
Tokitaka Nakanishi,"5' 6""",135 lbs.,"66.0""",Orthodox,12,4,"Jul 28, 1996",1996
Daisuke Nakamura,"5' 7""",154 lbs.,--,Orthodox,28,19,"Jun 10, 1980",1980
Keita Nakamura,"5' 11""",170 lbs.,"73.0""",Southpaw,34,10,"May 22, 1984",1984
Andrews Nakahara,"6' 1""",185 lbs.,--,Orthodox,5,4,"Mar 12, 1983",1983
Yura Naito,--,185 lbs.,--,,6,0,--,--
Rin Nakai,"5' 1""",135 lbs.,--,Orthodox,19,2,"Oct 22, 1986",1986
Sergey Khandozhko,"6' 1""",170 lbs.,"74.0""",Orthodox,28,6,"May 19, 1992",1992
Yukiya Naito,"6' 1""",205 lbs.,--,Orthodox,15,6,--,--
Kazuhiro Nakamura,"5' 11""",205 lbs.,"70.0""",Orthodox,21,13,"Jul 16, 1979",1979
Ron Keslar,--,185 lbs.,--,,11,9,--,--
Rustam Khabilov,"5' 8""",155 lbs.,"73.0""",Orthodox,24,4,"Nov 04, 1986",1986
Will Kerr,"5' 10""",155 lbs.,"69.0""",Orthodox,9,3,"Oct 21, 1982",1982
Mark Kerr,"6' 3""",266 lbs.,--,Switch,15,11,"Dec 21, 1968",1968
Adam Khaliev,"6' 0""",170 lbs.,--,Orthodox,6,0,"Apr 16, 1984",1984
Aurelijus Kerpe,--,--,--,Orthodox,11,22,--,--
Maimaitituoheti Keremuaili,"5' 6""",135 lbs.,"66.0""",Orthodox,26,11,"Mar 18, 1991",1991
Alan Jouban,"6' 0""",170 lbs.,"73.0""",Southpaw,17,7,"Nov 25, 1981",1981
Waylon Kennell,"6' 0""",185 lbs.,--,,6,2,--,--
Casey Kenney,"5' 7""",135 lbs.,"68.0""",Southpaw,16,4,"Mar 20, 1991",1991
Krzysztof Jotko,"6' 1""",185 lbs.,"77.0""",Southpaw,24,6,"Aug 19, 1989",1989
Jeff Joslin,"6' 0""",170 lbs.,--,Orthodox,5,3,"Apr 30, 1975",1975
Gareth Joseph,--,205 lbs.,--,,9,5,--,--
Dwight Joseph,"5' 6""",135 lbs.,--,Switch,5,0,"Aug 16, 1989",1989
Ivan Jorge,"5' 9""",155 lbs.,"73.0""",Orthodox,27,7,"Nov 07, 1980",1980
Shawn Jordan,"6' 0""",260 lbs.,"75.0""",Southpaw,19,8,"Oct 21, 1984",1984
Scott Jorgensen,"5' 5""",135 lbs.,"66.0""",Orthodox,15,12,"Sep 17, 1982",1982
Bobby Cooper,"6' 1""",155 lbs.,--,,12,7,--,--
Joe Jordan,"5' 6""",155 lbs.,--,Orthodox,49,14,"Jul 27, 1978",1978
Brett Cooper,"6' 0""",170 lbs.,--,Orthodox,23,12,"Jul 02, 1987",1987
Kevin Jordan,"6' 3""",245 lbs.,--,Orthodox,11,9,"Dec 31, 1970",1970
Dewey Cooper,--,205 lbs.,--,,2,1,--,--
Bill Cooper,--,155 lbs.,--,,2,1,"May 05, 1984",1984
TJ Cook,--,205 lbs.,--,,13,5,"Sep 08, 1982",1982
Chad Cook,"6' 2""",205 lbs.,--,,10,12,"Nov 07, 1979",1979
Mike Cook,"6' 1""",205 lbs.,--,Orthodox,13,13,--,--
Bob Cook,"5' 9""",170 lbs.,--,Orthodox,5,0,--,--
Icaro Brito,--,145 lbs.,--,,7,1,"Mar 09, 1999",1999
Jonathan Contrestano,--,155 lbs.,--,,6,0,--,--
Kaik Brito,"5' 11""",170 lbs.,"72.0""",Orthodox,16,5,"Mar 26, 1997",1997
Jeremiah Constant,"6' 1""",240 lbs.,--,Orthodox,11,8,"Jul 19, 1974",1974
Aaron Brink,"6' 3""",205 lbs.,--,Orthodox,26,26,"Nov 12, 1974",1974
Henry Briones,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,"Oct 22, 1980",1980
Marcelo Brito,"6' 1""",170 lbs.,--,Orthodox,13,8,"Nov 27, 1977",1977
Joanderson Brito,"5' 8""",145 lbs.,"72.0""",Orthodox,17,3,"Feb 11, 1995",1995
Marcus Brimage,"5' 4""",135 lbs.,"71.0""",Southpaw,7,7,"Apr 06, 1985",1985
Jason Brilz,"5' 11""",205 lbs.,"71.0""",Orthodox,22,6,"Jul 07, 1975",1975
Muhammad Naimov,"5' 9""",145 lbs.,"70.0""",Orthodox,11,3,"Aug 07, 1994",1994
Marcos Brigagao,"6' 3""",205 lbs.,"76.0""",Southpaw,11,1,"Apr 01, 1996",1996
Yuji Nagata,"6' 0""",225 lbs.,--,Orthodox,0,2,"Apr 24, 1968",1968
Katsuhiko Nagata,"5' 7""",154 lbs.,--,Southpaw,6,7,"Oct 31, 1973",1973
Greg Nagy,"6' 1""",210 lbs.,--,Orthodox,1,3,"Oct 18, 1983",1983
Mack Brewer,--,205 lbs.,--,,0,1,--,--
Steve Kennedy,"5' 11""",170 lbs.,--,Orthodox,24,8,"Mar 07, 1983",1983
Logan Nail,--,185 lbs.,--,,1,1,"Jun 20, 1989",1989
John Kelly,"5' 9""",170 lbs.,--,,5,4,"Aug 02, 1978",1978
Jeremy Kennedy,"5' 11""",145 lbs.,"71.0""",Orthodox,11,1,"Sep 16, 1992",1992
Brian Kelleher,"5' 6""",135 lbs.,"66.0""",Switch,24,16,"Aug 19, 1986",1986
Daniel Kelly,"6' 0""",185 lbs.,"70.0""",Southpaw,13,4,"Oct 31, 1977",1977
Paul Kelly,"5' 9""",155 lbs.,"70.0""",Orthodox,14,5,"Sep 12, 1984",1984
Tony Kelley,"5' 9""",135 lbs.,"70.0""",Switch,8,3,"Jan 21, 1987",1987
Tim Kennedy,"5' 11""",185 lbs.,"74.0""",Orthodox,18,6,"Sep 01, 1979",1979
Chris Kelades,"5' 7""",125 lbs.,"68.0""",Orthodox,9,3,"Feb 21, 1981",1981
Mayana Kellem,"5' 5""",135 lbs.,--,Orthodox,7,1,"Jul 07, 1981",1981
CJ Keith,"6' 0""",155 lbs.,--,Orthodox,8,4,"Aug 09, 1986",1986
Jocelyn Jones-Lybarger,"5' 7""",115 lbs.,"64.0""",Orthodox,6,4,"Oct 04, 1985",1985
Jacobi Jones,"5' 9""",155 lbs.,"72.0""",Orthodox,6,2,"May 24, 1996",1996
Craig Jones,--,205 lbs.,--,,0,0,"Jul 17, 1991",1991
Trevin Jones,"5' 7""",135 lbs.,"70.0""",Southpaw,13,10,"Aug 04, 1990",1990
Roshaun Jones,"5' 8""",135 lbs.,--,,2,6,--,--
Antonio Jones,"5' 11""",185 lbs.,--,Orthodox,6,1,"Apr 12, 1985",1985
Mason Jones,"5' 10""",155 lbs.,"74.0""",Orthodox,11,2,"Apr 26, 1995",1995
Jamelle Jones,"6' 0""",205 lbs.,"75.0""",Orthodox,7,5,"Jan 31, 1988",1988
Chris Jones,"5' 9""",149 lbs.,--,,10,5,"Nov 16, 1981",1981
Victor Jones,--,145 lbs.,--,,1,3,--,--
Ben Jones,--,185 lbs.,--,,4,4,--,--
Marcos Conrado Jr.,"6' 2""",220 lbs.,--,Orthodox,5,1,"Mar 14, 1982",1982
Tristan Connelly,"5' 10""",145 lbs.,"68.0""",Orthodox,14,8,"Dec 12, 1985",1985
Chris Condo,"6' 0""",335 lbs.,--,Orthodox,0,1,--,--
Carlos Condit,"6' 2""",170 lbs.,"75.0""",Orthodox,32,14,"Apr 26, 1984",1984
Wes Combs,"6' 2""",205 lbs.,--,Orthodox,20,6,"Jun 18, 1973",1973
Rose Conceicao,--,115 lbs.,--,,7,0,"May 13, 1997",1997
Willian Colorado,"5' 10""",135 lbs.,"72.0""",,11,1,"Jun 21, 1986",1986
Christian Colombo,"6' 5""",265 lbs.,--,Orthodox,8,3,"Jul 01, 1980",1980
Jake Collier,"6' 3""",230 lbs.,"78.0""",Orthodox,13,10,"Oct 25, 1988",1988
Jamie Colleen,"5' 3""",115 lbs.,"65.0""",Orthodox,4,1,"Nov 02, 1985",1985
Clay Collard,"5' 11""",145 lbs.,"73.0""",Orthodox,14,7,"Mar 10, 1993",1993
Robert Breslin,"5' 11""",155 lbs.,--,,3,9,--,--
Charlie Brenneman,"5' 10""",155 lbs.,"70.0""",Orthodox,19,8,"Feb 09, 1981",1981
Elves Brener,"5' 10""",155 lbs.,"72.0""",Orthodox,16,5,"Sep 27, 1997",1997
Chris Brennan,"5' 8""",170 lbs.,--,Orthodox,21,13,"Oct 12, 1971",1971
Tom Breese,"6' 3""",185 lbs.,"73.0""",Southpaw,12,3,"Sep 26, 1991",1991
Mike Breeden,"5' 10""",155 lbs.,"70.0""",Orthodox,11,6,"Apr 21, 1989",1989
Michael Bravo,--,155 lbs.,--,,7,4,--,--
Roman Bravo-Young,--,205 lbs.,--,,0,1,--,--
Martin Bravo,"5' 8""",145 lbs.,"71.0""",Southpaw,11,3,"Sep 21, 1993",1993
Diego Brandao,"5' 7""",145 lbs.,"64.0""",Orthodox,22,11,"May 27, 1987",1987
Bruna Brasil,"5' 6""",115 lbs.,"65.0""",Orthodox,10,4,"Sep 07, 1993",1993
Ryan Keenan,"5' 10""",170 lbs.,--,,6,2,"Jun 15, 1985",1985
Julie Kedzie,"5' 5""",135 lbs.,--,Orthodox,16,13,"Mar 18, 1981",1981
Toshiomi Kazama,"5' 7""",135 lbs.,"69.0""",Orthodox,11,4,"May 15, 1997",1997
Masuto Kawana,"5' 6""",145 lbs.,"69.0""",Orthodox,10,4,"Jan 30, 1995",1995
Doug Kay,--,--,--,,0,0,--,--
Canaan Kawaihae,"6' 0""",145 lbs.,"71.0""",Southpaw,6,2,"Aug 26, 1997",1997
Sarah Kaufman,"5' 5""",135 lbs.,"66.0""",Orthodox,18,4,"Sep 20, 1985",1985
Tatsuya Kawajiri,"5' 7""",145 lbs.,"69.0""",Orthodox,36,11,"May 08, 1978",1978
Ryo Kawamura,"5' 11""",205 lbs.,--,Orthodox,18,9,"Jun 29, 1981",1981
Yusuke Kawaguchi,"6' 0""",255 lbs.,--,,18,12,"Aug 14, 1980",1980
Lone'er Kavanagh,"5' 4""",125 lbs.,"67.0""",Orthodox,7,0,"Jun 09, 1999",1999
Roy Jones,--,205 lbs.,--,,7,5,"Oct 26, 1983",1983
Justin Jones,"5' 11""",185 lbs.,--,Orthodox,9,2,"Sep 06, 1987",1987
